data_hora,modelo_utilizado,arquivo_entrada,total_comentarios,pct_positivo,pct_neutro,pct_negativo,idiomas_top5,arquivo_saida
2025-10-30 16:09:35,nlptown/bert-base-multilingual-uncased-sentiment,data\comentarios_coletados_20251030_151940.csv,4007,62.566,13.676,23.758,"en:72.7%, id:3.0%, es:2.4%, so:2.1%, pt:1.8%",resultados\comentarios_analisados_20251030_160935.csv
2025-10-30 20:09:39,nlptown/bert-base-multilingual-uncased-sentiment,data\comentarios_coletados_20251030_193635.csv,4007,62.566,13.676,23.758,"en:72.7%, id:3.0%, es:2.4%, so:2.1%, pt:1.8%",resultados\comentarios_analisados_20251030_200939.csv
